tid,phylum.R,class.R,order.R,family.R,genus.R,species.R,keeling.R
35687,no rank,Dictyochophyceae,Dictyochales,no rank,Dictyocha,no rank,Dictyochophytes
38822,no rank,Dictyochophyceae,Pedinellales,no rank,Pteridomonas,no rank,Dictyochophytes
44056,no rank,Pelagophyceae,Pelagomonadales,no rank,Aureococcus,no rank,Dictyochophytes
44058,no rank,Pelagophyceae,Pelagomonadales,no rank,Aureoumbra,no rank,Dictyochophytes
54406,no rank,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,no rank,no rank,Dictyochophytes
236786,no rank,Dictyochophyceae,Florenciellales,no rank,no rank,no rank,Dictyochophytes
236787,no rank,Dictyochophyceae,Florenciellales,no rank,Florenciella,no rank,Dictyochophytes
284809,no rank,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,no rank,no rank,Dictyochophytes
483369,no rank,Dictyochophyceae,Pedinellales,no rank,no rank,no rank,Dictyochophytes
1034831,no rank,Dictyochophyceae,Rhizochromulinales,no rank,Rhizochromulina,no rank,Dictyochophytes
1104430,no rank,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,no rank,no rank,Dictyochophytes
2866,Dinoflagellata,Dinophyceae,Gonyaulacales,Crypthecodiniaceae,Crypthecodinium,no rank,Dinoflagellates
2916,Dinoflagellata,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,no rank,Dinoflagellates
2923,no rank,Dinophyceae,Peridiniales,Thoracosphaeraceae,Thoracosphaera,no rank,Dinoflagellates
2925,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
2926,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
2932,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
2945,no rank,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,no rank,Dinoflagellates
2961,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,no rank,Dinoflagellates
2966,no rank,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,no rank,Dinoflagellates
2969,no rank,Dinophyceae,Oxyrrhinales,Oxyrrhinaceae,Oxyrrhis,no rank,Dinoflagellates
2972,no rank,Dinophyceae,Pyrocystales,Pyrocystaceae,Pyrocystis,no rank,Dinoflagellates
39447,no rank,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,no rank,Dinoflagellates
39448,no rank,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,no rank,Dinoflagellates
39449,no rank,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,no rank,Dinoflagellates
39455,no rank,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,no rank,Dinoflagellates
43686,no rank,Dinophyceae,Suessiales,Suessiaceae,Pelagodinium,no rank,Dinoflagellates
